comment_id,text,all_hs
UgyLHUt19zsIikVibx94AaABAg,sit down slut,1
UgjIEPE4YhafVXgCoAEC,this should be illegal cunt,1
Ugg6RQx61xksWXgCoAEC,he is a stupid kid what is wrong with him,1
z122dtbgtxaou1hov04ccj1o2tqxjfca0kc0k,It's simple math. it's stupid (this video),1
z12cv3sagv2tshdsc23oj1s4lkzgtbw1r,sirmeowsalot is fat,1
z12jxpjwdqeoezl4x04cehjhioqdzrdzzko0k,Okey Bart Baker i love your videos but i don't  when you are saying stupid things abote artists 😕 but videos is okey😊 just q tip 😇,1
Ugievo59WhbH43gCoAEC,Pewdiepie is by far the most subbed youtuber everyone knows that and he has definitely made more money then Jake Paul has but PewDiePie is one of the only big youtubers that haven't bought a lambo or gtr or whatever expensive car and he doesnt talk about all his money and fame and he doesnt go around looking like a faggot hypebeast like faze blaziken he hasnt been completely changed by the money like a lot of other youtubers (example: Jake Paul)  thats why i got a lot of respect for him.,1
z12atzjh1mfqttdep23tibbounewclmly,GABI TRYS SO HARD TO LOOK LIKE ARIANA like damn bitch get cha own shit. I love their videos and all but this hoe is really getting on my nerves. Can't stand people who try to be someone they not. Unsubscribing. ,1
UgwkoqcGoekKPr1ADax4AaABAg,gay you are not 10 send me something,1
UgxoDo0BwVL1hOy85d54AaABAg,Man he is gonna be gay,1
z125sv3o2pm1jxn5j04cfnmjfkqxcxizi50,fuckin gay,1
UgwC0LhvbpkM6kUxYtt4AaABAg,U can kill someone with that face,1
z12fuhlwqmyvzd20a22ninp5pquiibp4t04,kill your self please,1
z12rdnjzwku3t3v0o23mh3vzkljehnal5,he looks like a tall 13 year old and she 22 year pedophile gold digger hoe,1
z12ojjtz3rezzhvlp22njzizwzzsjb4o304,I know!!!! Jane the virgin is amazing!!!!!,1
z12yhdowcu3lgxuhf04cezvbevywtr1rnu00k,Obviously the gay guys would be the ones that would have a threesome already LOL,1
z12avd5zdyzag3rbh04cgtkpbwu2vv3ip3c,he always sounds excited and a gay person,1
z12ihzsqvoipjrxna22uelqj5l3kztx0c,you can tell everything is photo shopped it is soooooo fake stupid idiots,1
UghW3zJFPFLgfHgCoAEC,Her boyfriend is so ugly 😂😂😂 but she's so pretty,1
z120z5lgqmzkcd2uk235snwwexjjz5rod04,i would  kill ever one in roblox vampire hunter 2 when ever am the vampire,1
UgiMiPqwgiHaB3gCoAEC,you two are adorable haters are just the most stupid people in the world,1
Ugicl2T1iFksTXgCoAEC,fake shit is stupid tension,1
z12eg1jzryupgrrvv23vx3rykomouvqdz.1491703009370183,Corl stupid auto correct,1
z23zuvtwgwjjufqhk04t1aokgj32mix013w10smkxxktrk0h00410,whoever keeps calling Amanda a slut then u should look at yourself in the mirror:) and also if your saying she has small boobs don't worry she'll get bigger ones.. and also don't rush yourself! you'll get boobs soon:D so SHUT THE FUCK UP SLUTS,1
z12audrjou20jbj4n04ci1nppv2kzxv5nb4,Thank you he is a fucking faggot A FAGGOT,1
z12ljtyxquascf2db23jg3yzep34ydq4c04,Would anyone else kill to go there???❤❤,1
z12cu534qsn4jzp0q23qulrzvqqryjcfp.1504584056897337,me you idiot,1
UggT-Okh5Dt_CngCoAEC,your stupid,1
UgxrvBqh45XLueccLOF4AaABAg,he isnt fat! leave him alone ur fuckin asshole ,1
UgiWo6LWWCeH0HgCoAEC,bitch please u may not be Nevel but u sure look like his twin 😈,1
z12dc1yjukvtw1bpg04cjn2a4wj3hne4jk40k,"This guy is stupid I hate him he just makes fun of cool videos
",1
z12czt5humn3v13a204ccniidsanunfrfn40k,Whoever  disliked  ur  an  idiot,1
z12fybk5ruiytjdre04cc1no2nagjx05yqk0k,Your so dump stupid,1
z12eyztaqxamedyhg04cfnprkvimybc4hno0k,Are there really so much  stupid butthurt Jb fans now or are they just trolling?,1
z121ypoozpeatlgcx22uxrf5jm3pvdxqv04,ur sisters a little bitch,1
z12mjfzx5vbkh5wpw04cfh554nrlth141n00k,"you guys REALLY ACED on the Donald Trump.. Cuz You know.. U made it ugly, and he's ugly too ^^ 👍👍👍👍👍👍👍👍👍👍👍👍👍 Good Job Guys. You Both Won On EveryThing!! Cuz  I can't pick one xDD",1
z122cbxxbmi1v3nex22le1diurviyvgqv04,That was stupid because it's pretty much her bragging ,1
z122vjdw3yqdvtvcr23ohvjp0tftiddzs04,U look so retarded when u smile,1
z12ihnqjpojyidvcg23zijjp3sbztrue3,you are a ugly person,1
z121udmzruirubar404cfz3oksnitxgigfg,that guy has no clue what he is talking about I wonder what his channels name is and by the way I thought this was a roast to tall not us. that stupid comment hurt,1
Ugjr06JimsQj0ngCoAEC,"I have two moms. They're loving, supportive, and beyond open minded and want whatever is best for me. My father, who is hardly in the picture just showed up after, what? 13,14 years? Yeah. No. I'm happy with the two of them, and would rather have them than a dead beat dad who doesn't care enough to fucking see either one of his kids. But you know, the gay agenda is going to ruin lives right? That was sarcasm.",1
UggF4ztisDndE3gCoAEC.7-H0Z7-PEkT8BNx_tpbzLe,a girl yelled you nearly hit me you dickhead,1
z12li1zrtmqlwjg1f22xdpazrvjpc1r1x,you little retard your a peace of​ shit,1
z13kchtgcoi5yzeug22dhduihmzbfndlx,"If you would sing at any contest like Idols or someshit you would be fucking roasted, your asshole would be as sore as  my throat full of bleach after I heard this song.",1
Ugh5sjjs_p0FoXgCoAEC,how can someone be so stupid I just don't understand,1
Ugh1GxhsoVYI43gCoAEC,uglyfucker bithches bart baker you suck dick why do you mess with this girls and it not very   funny,1
z12qhnazaxizjfpoy04ccndoztzcyrxo1o40k,based orlando kill me please,1
z125hpmzgkrxhl01a23iydeoxv32tr3it04,not to be rude or anything but these girls (Britteny and Bianna ) they where to much makeup it is making them look ugly and I know I would get some bad comments on this .Merry Christmas,1
z135v3xj4ymvfpijg04cef0q3zy2etsi3y40k,You asshole YOU ASSHOLE Y WOULD YOU INSULT GIRLS /Me yes ima girl my real name is Ally my dad is ryan,1
z123wh1oekvydv3yv04cgzphkxbahf3wirs0k,And she made the second video... I am fat and ı bet I'm way faster than she is or will ever be.,1
UgwP20SvyGoFNZbNqgJ4AaABAg,"Logan:Why is everyone picking on my brother now?
He was an asshole to Alissa Violet,he's a liar and he's a horrible person.",1
z12lxh3bazj5cns4004cej3hosn5v50adqc0k,those niggas are funny af lmao,1
UgzP2gxnaaWJT4w3AV54AaABAg,Me “IM A MEAT EATER DEATH TO ALL VEGAN EATERS IM MEAT EATER DEATH TO ALL” well fuck you cuz ur the asshole kid,1
z12hfpzjmlapu1ihf04cjhrhzx30s5go4qk0k,i playa this game are the 4 am in my first night and freddy kill me.,1
z12izleaaoinwxtdc23lvzhykva3uvy5l04,Ur ugly tbh don't act cute. That's even uglier 😷,1
z132ehuabyafe3t2222ds1ayjzzhwdilz,ivy shut the fuck up u winey little bitch,1
z12hu5yykqfdhnmri04cdbsonvbzyjbaepc0k,bitchhhh u be lien that's why ricegum took yo ass out #rice#squadd4rice like if I agree .. gabbie a bitch,1
z122fv0w4yeaddyqz04cjdh50su0zzoiyxc0k,give these guys there own prank show they kill it,1
z12oyvbx4oyhhnpdn224whbqhnzeutptj,Fuck Donald  trump 🎺🖓🖓. Racists ass Orange bitch,1
z12qg5xxlvz2cfihw04cgnt4dkrkwxrje0g,I love that the black girl in the pink top demonstrated that men can be victims of rape aswell,1
z12iixozlkjwxvji504ciniarmicc3zwf1s,your stupid ivey,1
